Coach,Tm,G,W,L,T,w/ Team_G,w/ Team_W,w/ Team_L,w/ Team_T,Career_G,Career_W,Career_L,Career_T,Playoffs_G plyf,Playoffs_W plyf,Playoffs_L plyf,w/ Team_G plyf,w/ Team_W plyf,w/ Team_L plyf,Career_G plyf,Career_W plyf,Career_L plyf,Remark,season
Dave Campo,DAL,16,5,11,0,48,15,33,0,48,15,33,0,0,0,0,0,0,0,0,0,0,,2001
Mike Shanahan,DEN,16,8,8,0,224,138,86,0,308,170,138,0,0,0,0,13,8,5,14,8,6,,2001
Marty Mornhinweg,DET,16,2,14,0,32,5,27,0,32,5,27,0,0,0,0,0,0,0,0,0,0,,2001
Mike Sherman,GNB,16,12,4,0,96,57,39,0,96,57,39,0,2,1,1,6,2,4,6,2,4,,2001
Jim Mora,IND,16,6,10,0,64,32,32,0,231,125,106,0,0,0,0,2,0,2,6,0,6,,2001
Tom Coughlin,JAX,16,6,10,0,128,68,60,0,320,170,150,0,0,0,0,8,4,4,19,12,7,,2001
Dick Vermeil,KAN,16,6,10,0,80,44,36,0,229,120,109,0,0,0,0,1,0,1,11,6,5,,2001
Dave Wannstedt,MIA,16,11,5,0,73,42,31,0,169,82,87,0,1,0,1,3,1,2,5,2,3,,2001
Mike Tice,MIN,1,0,1,0,65,32,33,0,65,32,33,0,0,0,0,2,1,1,2,1,1,,2001
Dennis Green,MIN,15,5,10,0,159,97,62,0,207,113,94,0,0,0,0,12,4,8,12,4,8,,2001
Jim Haslett,NOR,16,7,9,0,96,45,51,0,108,47,61,0,0,0,0,2,1,1,2,1,1,,2001
Bill Belichick,NWE,16,11,5,0,386,266,120,0,466,302,164,0,3,3,0,42,30,12,44,31,13,Super Bowl Champions,2001
Jim Fassel,NYG,16,7,9,0,112,58,53,1,112,58,53,1,0,0,0,5,2,3,5,2,3,,2001
Herm Edwards,NYJ,16,10,6,0,80,39,41,0,128,54,74,0,1,0,1,5,2,3,6,2,4,,2001
Jon Gruden,OAK,16,10,6,0,117,60,57,0,229,117,112,0,2,1,1,5,2,3,10,5,5,,2001
Andy Reid,PHI,16,11,5,0,224,130,93,1,402,257,144,1,3,2,1,19,10,9,38,22,16,,2001
Bill Cowher,PIT,16,13,3,0,240,149,90,1,240,149,90,1,2,1,1,21,12,9,21,12,9,,2001
Mike Riley,SDG,16,5,11,0,48,14,34,0,48,14,34,0,0,0,0,0,0,0,0,0,0,,2001
Mike Holmgren,SEA,16,9,7,0,160,86,74,0,272,161,111,0,0,0,0,10,4,6,24,13,11,,2001
Steve Mariucci,SFO,16,12,4,0,96,57,39,0,139,72,67,0,1,0,1,7,3,4,7,3,4,,2001
Mike Martz,STL,16,14,2,0,85,53,32,0,85,53,32,0,3,2,1,7,3,4,7,3,4,NFC Champions,2001
Tony Dungy,TAM,16,9,7,0,96,54,42,0,208,139,69,0,1,0,1,6,2,4,19,9,10,,2001
Jeff Fisher,TEN,16,7,9,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,,2001
Marty Schottenheimer,WAS,16,8,8,0,16,8,8,0,327,200,126,1,0,0,0,0,0,0,18,5,13,,2001
Vince Tobin,ARI,7,2,5,0,71,28,43,0,71,28,43,0,0,0,0,2,1,1,2,1,1,Fired after week 8,2000
Dave McGinnis,ARI,9,1,8,0,57,17,40,0,57,17,40,0,0,0,0,0,0,0,0,0,0,Coach starting week 9,2000
Dan Reeves,ATL,16,4,12,0,109,49,59,1,357,190,165,2,0,0,0,5,3,2,20,11,9,,2000
Brian Billick,BAL,16,12,4,0,144,80,64,0,144,80,64,0,4,4,0,8,5,3,8,5,3,Super Bowl Champions,2000
Wade Phillips,BUF,16,8,8,0,48,29,19,0,146,82,64,0,0,0,0,2,0,2,6,1,5,,2000
George Seifert,CAR,16,7,9,0,48,16,32,0,176,114,62,0,0,0,0,0,0,0,15,10,5,,2000
Dick Jauron,CHI,16,5,11,0,80,35,45,0,142,60,82,0,0,0,0,1,0,1,1,0,1,,2000
Bruce Coslet,CIN,3,0,3,0,60,21,39,0,124,47,77,0,0,0,0,0,0,0,1,0,1,Fired after week 4,2000
Dick LeBeau,CIN,13,4,9,0,45,12,33,0,45,12,33,0,0,0,0,0,0,0,0,0,0,Coach starting week 5,2000
Chris Palmer,CLE,16,3,13,0,32,5,27,0,32,5,27,0,0,0,0,0,0,0,0,0,0,,2000
Dave Campo,DAL,16,5,11,0,48,15,33,0,48,15,33,0,0,0,0,0,0,0,0,0,0,,2000
Mike Shanahan,DEN,16,11,5,0,224,138,86,0,308,170,138,0,1,0,1,13,8,5,14,8,6,,2000
Gary Moeller,DET,7,4,3,0,7,4,3,0,7,4,3,0,0,0,0,0,0,0,0,0,0,Coach starting week 11,2000
Bobby Ross,DET,9,5,4,0,57,27,30,0,137,74,63,0,0,0,0,2,0,2,8,3,5,Resigned after week 10,2000
Mike Sherman,GNB,16,9,7,0,96,57,39,0,96,57,39,0,0,0,0,6,2,4,6,2,4,,2000
Jim Mora,IND,16,10,6,0,64,32,32,0,231,125,106,0,1,0,1,2,0,2,6,0,6,,2000
Tom Coughlin,JAX,16,7,9,0,128,68,60,0,320,170,150,0,0,0,0,8,4,4,19,12,7,,2000
Gunther Cunningham,KAN,16,7,9,0,32,16,16,0,32,16,16,0,0,0,0,0,0,0,0,0,0,,2000
Dave Wannstedt,MIA,16,11,5,0,73,42,31,0,169,82,87,0,2,1,1,3,1,2,5,2,3,,2000
Dennis Green,MIN,16,11,5,0,159,97,62,0,207,113,94,0,2,1,1,12,4,8,12,4,8,,2000
Jim Haslett,NOR,16,10,6,0,96,45,51,0,108,47,61,0,2,1,1,2,1,1,2,1,1,,2000
Bill Belichick,NWE,16,5,11,0,386,266,120,0,466,302,164,0,0,0,0,42,30,12,44,31,13,,2000
Jim Fassel,NYG,16,12,4,0,112,58,53,1,112,58,53,1,3,2,1,5,2,3,5,2,3,NFC Champions,2000
Al Groh,NYJ,16,9,7,0,16,9,7,0,16,9,7,0,0,0,0,0,0,0,0,0,0,,2000
Jon Gruden,OAK,16,12,4,0,117,60,57,0,229,117,112,0,2,1,1,5,2,3,10,5,5,,2000
Andy Reid,PHI,16,11,5,0,224,130,93,1,402,257,144,1,2,1,1,19,10,9,38,22,16,,2000
Bill Cowher,PIT,16,9,7,0,240,149,90,1,240,149,90,1,0,0,0,21,12,9,21,12,9,,2000
Mike Riley,SDG,16,1,15,0,48,14,34,0,48,14,34,0,0,0,0,0,0,0,0,0,0,,2000
Mike Holmgren,SEA,16,6,10,0,160,86,74,0,272,161,111,0,0,0,0,10,4,6,24,13,11,,2000
Steve Mariucci,SFO,16,6,10,0,96,57,39,0,139,72,67,0,0,0,0,7,3,4,7,3,4,,2000
Mike Martz,STL,16,10,6,0,85,53,32,0,85,53,32,0,1,0,1,7,3,4,7,3,4,,2000
Tony Dungy,TAM,16,10,6,0,96,54,42,0,208,139,69,0,1,0,1,6,2,4,19,9,10,,2000
Jeff Fisher,TEN,16,13,3,0,262,142,120,0,339,173,165,1,1,0,1,11,5,6,11,5,6,,2000
Terry Robiskie,WAS,3,1,2,0,3,1,2,0,8,2,6,0,0,0,0,0,0,0,0,0,0,Coach starting week 15,2000
Norv Turner,WAS,13,7,6,0,109,49,59,1,237,114,122,1,0,0,0,2,1,1,8,4,4,Fired after week 14,2000
Vince Tobin,ARI,16,6,10,0,71,28,43,0,71,28,43,0,0,0,0,2,1,1,2,1,1,,1999
Dan Reeves,ATL,16,5,11,0,109,49,59,1,357,190,165,2,0,0,0,5,3,2,20,11,9,,1999
Brian Billick,BAL,16,8,8,0,144,80,64,0,144,80,64,0,0,0,0,8,5,3,8,5,3,,1999
Wade Phillips,BUF,16,11,5,0,48,29,19,0,146,82,64,0,1,0,1,2,0,2,6,1,5,,1999
George Seifert,CAR,16,8,8,0,48,16,32,0,176,114,62,0,0,0,0,0,0,0,15,10,5,,1999
Dick Jauron,CHI,16,6,10,0,80,35,45,0,142,60,82,0,0,0,0,1,0,1,1,0,1,,1999
Bruce Coslet,CIN,16,4,12,0,60,21,39,0,124,47,77,0,0,0,0,0,0,0,1,0,1,,1999
Chris Palmer,CLE,16,2,14,0,32,5,27,0,32,5,27,0,0,0,0,0,0,0,0,0,0,,1999
Chan Gailey,DAL,16,8,8,0,32,18,14,0,80,34,46,0,1,0,1,2,0,2,2,0,2,,1999
Mike Shanahan,DEN,16,6,10,0,224,138,86,0,308,170,138,0,0,0,0,13,8,5,14,8,6,,1999
Bobby Ross,DET,16,8,8,0,57,27,30,0,137,74,63,0,1,0,1,2,0,2,8,3,5,,1999
Ray Rhodes,GNB,16,8,8,0,16,8,8,0,80,37,42,1,0,0,0,0,0,0,3,1,2,,1999
Jim Mora,IND,16,13,3,0,64,32,32,0,231,125,106,0,1,0,1,2,0,2,6,0,6,,1999
Tom Coughlin,JAX,16,14,2,0,128,68,60,0,320,170,150,0,2,1,1,8,4,4,19,12,7,,1999
Gunther Cunningham,KAN,16,9,7,0,32,16,16,0,32,16,16,0,0,0,0,0,0,0,0,0,0,,1999
Jimmy Johnson,MIA,16,9,7,0,64,36,28,0,144,80,64,0,2,1,1,5,2,3,13,9,4,,1999
Dennis Green,MIN,16,10,6,0,159,97,62,0,207,113,94,0,2,1,1,12,4,8,12,4,8,,1999
Mike Ditka,NOR,16,3,13,0,48,15,33,0,216,121,95,0,0,0,0,0,0,0,12,6,6,,1999
Pete Carroll,NWE,16,8,8,0,48,27,21,0,290,169,120,1,0,0,0,3,1,2,22,11,11,,1999
Jim Fassel,NYG,16,7,9,0,112,58,53,1,112,58,53,1,0,0,0,5,2,3,5,2,3,,1999
Bill Parcells,NYJ,16,8,8,0,48,29,19,0,303,172,130,1,0,0,0,2,1,1,19,11,8,,1999
Jon Gruden,OAK,16,8,8,0,117,60,57,0,229,117,112,0,0,0,0,5,2,3,10,5,5,,1999
Andy Reid,PHI,16,5,11,0,224,130,93,1,402,257,144,1,0,0,0,19,10,9,38,22,16,,1999
Bill Cowher,PIT,16,6,10,0,240,149,90,1,240,149,90,1,0,0,0,21,12,9,21,12,9,,1999
Mike Riley,SDG,16,8,8,0,48,14,34,0,48,14,34,0,0,0,0,0,0,0,0,0,0,,1999
Mike Holmgren,SEA,16,9,7,0,160,86,74,0,272,161,111,0,1,0,1,10,4,6,24,13,11,,1999
Steve Mariucci,SFO,16,4,12,0,96,57,39,0,139,72,67,0,0,0,0,7,3,4,7,3,4,,1999
Dick Vermeil,STL,16,13,3,0,48,22,26,0,229,120,109,0,3,3,0,3,3,0,11,6,5,Super Bowl Champions,1999
Tony Dungy,TAM,16,11,5,0,96,54,42,0,208,139,69,0,2,1,1,6,2,4,19,9,10,,1999
